"id","activity_date","tracker_distance","logged_activity_distance","very_active_distance","moderately_active_distance","light_active_distance","sedentary_active_distance","very_active_minutes","fairly_active_minutes","lightly_active_minutes","sedentary_minutes","calories","step_total","active_distance_level"
"1503960366","2016-04-12","8.5","0","1.87999999523163","0.550000011920929","6.05999994277954","0",25,13,328,728,1985,13162,"Very Active"
"1503960366","2016-04-13","6.96999979019165","0","1.57000005245209","0.689999997615814","4.71000003814697","0",21,19,217,776,1797,10735,"Very Active"
"1503960366","2016-04-14","6.73999977111816","0","2.44000005722046","0.400000005960464","3.91000008583069","0",30,11,181,1218,1776,10460,"Very Active"
"1503960366","2016-04-15","6.28000020980835","0","2.14000010490417","1.25999999046326","2.82999992370605","0",29,34,209,726,1745,9762,"Moderately Active"
"1503960366","2016-04-16","8.15999984741211","0","2.71000003814697","0.409999996423721","5.03999996185303","0",36,10,221,773,1863,12669,"Very Active"
"1503960366","2016-04-17","6.48000001907349","0","3.19000005722046","0.779999971389771","2.50999999046326","0",38,20,164,539,1728,9705,"Moderately Active"
"1503960366","2016-04-18","8.59000015258789","0","3.25","0.639999985694885","4.71000003814697","0",42,16,233,1149,1921,13019,"Very Active"
"1503960366","2016-04-19","9.88000011444092","0","3.52999997138977","1.32000005245209","5.03000020980835","0",50,31,264,775,2035,15506,"Very Active"
"1503960366","2016-04-20","6.67999982833862","0","1.96000003814697","0.479999989271164","4.23999977111816","0",28,12,205,818,1786,10544,"Very Active"
"1503960366","2016-04-21","6.34000015258789","0","1.3400000333786","0.349999994039536","4.65000009536743","0",19,8,211,838,1775,9819,"Moderately Active"
"1503960366","2016-04-22","8.13000011444092","0","4.76000022888184","1.12000000476837","2.24000000953674","0",66,27,130,1217,1827,12764,"Very Active"
"1503960366","2016-04-23","9.03999996185303","0","2.80999994277954","0.870000004768372","5.3600001335144","0",41,21,262,732,1949,14371,"Very Active"
"1503960366","2016-04-24","6.40999984741211","0","2.92000007629395","0.209999993443489","3.27999997138977","0",39,5,238,709,1788,10039,"Very Active"
"1503960366","2016-04-25","9.80000019073486","0","5.28999996185303","0.569999992847443","3.94000005722046","0",73,14,216,814,2013,15355,"Very Active"
"1503960366","2016-04-26","8.78999996185303","0","2.32999992370605","0.920000016689301","5.53999996185303","0",31,23,279,833,1970,13755,"Very Active"
"1503960366","2016-04-27","12.210000038147","0","6.40000009536743","0.409999996423721","5.40999984741211","0",78,11,243,1108,2159,18134,"Very Active"
"1503960366","2016-04-28","8.52999973297119","0","3.53999996185303","1.1599999666214","3.78999996185303","0",48,28,189,782,1898,13154,"Very Active"
"1503960366","2016-04-29","7.15000009536743","0","1.05999994277954","0.5","5.57999992370605","0",16,12,243,815,1837,11181,"Very Active"
"1503960366","2016-04-30","9.25","0","3.55999994277954","1.41999995708466","4.26999998092651","0",52,34,217,712,1947,14673,"Very Active"
"1503960366","2016-05-01","6.80999994277954","0","2.28999996185303","1.60000002384186","2.92000007629395","0",33,35,246,730,1820,10602,"Very Active"
"1503960366","2016-05-02","9.71000003814697","0","3.21000003814697","0.569999992847443","5.92000007629395","0",41,15,277,798,2004,14727,"Very Active"
"1503960366","2016-05-03","9.65999984741211","0","3.73000001907349","1.04999995231628","4.88000011444092","0",50,24,254,816,1990,15103,"Very Active"
"1503960366","2016-05-04","7.15000009536743","0","2.46000003814697","0.870000004768372","3.8199999332428","0",36,22,203,1179,1819,11100,"Very Active"
"1503960366","2016-05-05","8.89999961853027","0","2.92000007629395","1.08000004291534","4.88000011444092","0",45,24,250,857,1959,14070,"Very Active"
"1503960366","2016-05-06","8.02999973297119","0","1.97000002861023","0.25","5.80999994277954","0",24,6,289,754,1896,12159,"Very Active"
"1503960366","2016-05-07","7.71000003814697","0","2.46000003814697","2.11999988555908","3.13000011444092","0",37,46,175,833,1821,11992,"Very Active"
