Id,ActivityHour,StepTotal
1503960366,2016-04-12 12:00:00,373
1503960366,2016-04-12 01:00:00,160
1503960366,2016-04-12 02:00:00,151
1503960366,2016-04-12 03:00:00,0
1503960366,2016-04-12 04:00:00,0
1503960366,2016-04-12 05:00:00,0
1503960366,2016-04-12 06:00:00,0
1503960366,2016-04-12 07:00:00,0
1503960366,2016-04-12 08:00:00,250
1503960366,2016-04-12 09:00:00,1864
1503960366,2016-04-12 10:00:00,676
1503960366,2016-04-12 11:00:00,360
1503960366,2016-04-13 00:00:00,253
1503960366,2016-04-12 13:00:00,221
1503960366,2016-04-12 14:00:00,1166
1503960366,2016-04-12 15:00:00,2063
1503960366,2016-04-12 16:00:00,344
1503960366,2016-04-12 17:00:00,489
1503960366,2016-04-12 18:00:00,1386
1503960366,2016-04-12 19:00:00,558
1503960366,2016-04-12 20:00:00,1733
1503960366,2016-04-12 21:00:00,684
1503960366,2016-04-12 22:00:00,89
1503960366,2016-04-12 23:00:00,338
1503960366,2016-04-13 12:00:00,144
1503960366,2016-04-13 01:00:00,0
1503960366,2016-04-13 02:00:00,0
1503960366,2016-04-13 03:00:00,36
1503960366,2016-04-13 04:00:00,0
1503960366,2016-04-13 05:00:00,0
1503960366,2016-04-13 06:00:00,0
1503960366,2016-04-13 07:00:00,126
1503960366,2016-04-13 08:00:00,275
1503960366,2016-04-13 09:00:00,1679
1503960366,2016-04-13 10:00:00,295
1503960366,2016-04-13 11:00:00,524
1503960366,2016-04-14 00:00:00,486
1503960366,2016-04-13 13:00:00,302
1503960366,2016-04-13 14:00:00,1577
1503960366,2016-04-13 15:00:00,493
1503960366,2016-04-13 16:00:00,299
1503960366,2016-04-13 17:00:00,695
1503960366,2016-04-13 18:00:00,1343
1503960366,2016-04-13 19:00:00,258
1503960366,2016-04-13 20:00:00,0
1503960366,2016-04-13 21:00:00,0
1503960366,2016-04-13 22:00:00,437
1503960366,2016-04-13 23:00:00,1766
1503960366,2016-04-14 12:00:00,81
1503960366,2016-04-14 01:00:00,58
1503960366,2016-04-14 02:00:00,0
1503960366,2016-04-14 03:00:00,0
1503960366,2016-04-14 04:00:00,0
1503960366,2016-04-14 05:00:00,0
1503960366,2016-04-14 06:00:00,0
1503960366,2016-04-14 07:00:00,0
1503960366,2016-04-14 08:00:00,0
1503960366,2016-04-14 09:00:00,902
1503960366,2016-04-14 10:00:00,1106
1503960366,2016-04-14 11:00:00,50
1503960366,2016-04-15 00:00:00,501
1503960366,2016-04-14 13:00:00,1779
1503960366,2016-04-14 14:00:00,1228
1503960366,2016-04-14 15:00:00,139
1503960366,2016-04-14 16:00:00,408
1503960366,2016-04-14 17:00:00,37
1503960366,2016-04-14 18:00:00,322
1503960366,2016-04-14 19:00:00,11
1503960366,2016-04-14 20:00:00,806
1503960366,2016-04-14 21:00:00,2670
1503960366,2016-04-14 22:00:00,362
1503960366,2016-04-14 23:00:00,0
1503960366,2016-04-15 12:00:00,83
1503960366,2016-04-15 01:00:00,75
1503960366,2016-04-15 02:00:00,124
1503960366,2016-04-15 03:00:00,0
1503960366,2016-04-15 04:00:00,0
1503960366,2016-04-15 05:00:00,26
1503960366,2016-04-15 06:00:00,0
1503960366,2016-04-15 07:00:00,7
1503960366,2016-04-15 08:00:00,55
1503960366,2016-04-15 09:00:00,21
1503960366,2016-04-15 10:00:00,154
1503960366,2016-04-15 11:00:00,425
1503960366,2016-04-16 00:00:00,270
1503960366,2016-04-15 13:00:00,373
1503960366,2016-04-15 14:00:00,0
1503960366,2016-04-15 15:00:00,0
1503960366,2016-04-15 16:00:00,0
1503960366,2016-04-15 17:00:00,1774
1503960366,2016-04-15 18:00:00,509
1503960366,2016-04-15 19:00:00,519
1503960366,2016-04-15 20:00:00,77
1503960366,2016-04-15 21:00:00,280
1503960366,2016-04-15 22:00:00,2145
1503960366,2016-04-15 23:00:00,2768
1503960366,2016-04-16 12:00:00,459
1503960366,2016-04-16 01:00:00,0
1503960366,2016-04-16 02:00:00,63
1503960366,2016-04-16 03:00:00,6
1503960366,2016-04-16 04:00:00,6
1503960366,2016-04-16 05:00:00,12
1503960366,2016-04-16 06:00:00,0
1503960366,2016-04-16 07:00:00,101
1503960366,2016-04-16 08:00:00,175
1503960366,2016-04-16 09:00:00,1181
1503960366,2016-04-16 10:00:00,1295
1503960366,2016-04-16 11:00:00,2043
1503960366,2016-04-17 00:00:00,1513
1503960366,2016-04-16 13:00:00,3616
1503960366,2016-04-16 14:00:00,580
1503960366,2016-04-16 15:00:00,0
1503960366,2016-04-16 16:00:00,15
1503960366,2016-04-16 17:00:00,380
1503960366,2016-04-16 18:00:00,96
1503960366,2016-04-16 19:00:00,146
1503960366,2016-04-16 20:00:00,385
1503960366,2016-04-16 21:00:00,463
1503960366,2016-04-16 22:00:00,42
1503960366,2016-04-16 23:00:00,92
1503960366,2016-04-17 12:00:00,0
1503960366,2016-04-17 01:00:00,0
1503960366,2016-04-17 02:00:00,0
1503960366,2016-04-17 03:00:00,8
1503960366,2016-04-17 04:00:00,0
1503960366,2016-04-17 05:00:00,0
1503960366,2016-04-17 06:00:00,0
1503960366,2016-04-17 07:00:00,0
1503960366,2016-04-17 08:00:00,0
1503960366,2016-04-17 09:00:00,0
1503960366,2016-04-17 10:00:00,0
1503960366,2016-04-17 11:00:00,84
1503960366,2016-04-18 00:00:00,260
1503960366,2016-04-17 13:00:00,402
1503960366,2016-04-17 14:00:00,252
1503960366,2016-04-17 15:00:00,191
1503960366,2016-04-17 16:00:00,13
1503960366,2016-04-17 17:00:00,2613
1503960366,2016-04-17 18:00:00,1616
1503960366,2016-04-17 19:00:00,754
1503960366,2016-04-17 20:00:00,2955
1503960366,2016-04-17 21:00:00,487
1503960366,2016-04-17 22:00:00,70
1503960366,2016-04-17 23:00:00,0
1503960366,2016-04-18 12:00:00,416
1503960366,2016-04-18 01:00:00,0
1503960366,2016-04-18 02:00:00,0
1503960366,2016-04-18 03:00:00,0
1503960366,2016-04-18 04:00:00,0
1503960366,2016-04-18 05:00:00,0
1503960366,2016-04-18 06:00:00,0
1503960366,2016-04-18 07:00:00,0
1503960366,2016-04-18 08:00:00,0
1503960366,2016-04-18 09:00:00,1688
1503960366,2016-04-18 10:00:00,380
1503960366,2016-04-18 11:00:00,328
1503960366,2016-04-19 00:00:00,1306
1503960366,2016-04-18 13:00:00,268
1503960366,2016-04-18 14:00:00,137
1503960366,2016-04-18 15:00:00,495
1503960366,2016-04-18 16:00:00,277
1503960366,2016-04-18 17:00:00,304
1503960366,2016-04-18 18:00:00,4074
1503960366,2016-04-18 19:00:00,2101
1503960366,2016-04-18 20:00:00,28
1503960366,2016-04-18 21:00:00,187
1503960366,2016-04-18 22:00:00,542
1503960366,2016-04-18 23:00:00,488
1503960366,2016-04-19 12:00:00,0
1503960366,2016-04-19 01:00:00,22
1503960366,2016-04-19 02:00:00,0
1503960366,2016-04-19 03:00:00,9
1503960366,2016-04-19 04:00:00,0
1503960366,2016-04-19 05:00:00,0
1503960366,2016-04-19 06:00:00,7
1503960366,2016-04-19 07:00:00,316
1503960366,2016-04-19 08:00:00,1656
1503960366,2016-04-19 09:00:00,367
1503960366,2016-04-19 10:00:00,203
1503960366,2016-04-19 11:00:00,194
1503960366,2016-04-20 00:00:00,1887
1503960366,2016-04-19 13:00:00,2697
1503960366,2016-04-19 14:00:00,409
1503960366,2016-04-19 15:00:00,299
1503960366,2016-04-19 16:00:00,297
1503960366,2016-04-19 17:00:00,732
1503960366,2016-04-19 18:00:00,1280
1503960366,2016-04-19 19:00:00,397
1503960366,2016-04-19 20:00:00,2487
1503960366,2016-04-19 21:00:00,826
1503960366,2016-04-19 22:00:00,52
1503960366,2016-04-19 23:00:00,1369
1503960366,2016-04-20 12:00:00,16
1503960366,2016-04-20 01:00:00,36
1503960366,2016-04-20 02:00:00,0
1503960366,2016-04-20 03:00:00,0
1503960366,2016-04-20 04:00:00,0
1503960366,2016-04-20 05:00:00,0
1503960366,2016-04-20 06:00:00,0
1503960366,2016-04-20 07:00:00,29
1503960366,2016-04-20 08:00:00,264
1503960366,2016-04-20 09:00:00,1993
1503960366,2016-04-20 10:00:00,459
1503960366,2016-04-20 11:00:00,65
1503960366,2016-04-21 00:00:00,185
1503960366,2016-04-20 13:00:00,64
1503960366,2016-04-20 14:00:00,1270
1503960366,2016-04-20 15:00:00,797
