Id,ActivityHour,Calories
1503960366,2016-04-12 00:00:00,81
1503960366,2016-04-12 01:00:00,61
1503960366,2016-04-12 02:00:00,59
1503960366,2016-04-12 03:00:00,47
1503960366,2016-04-12 04:00:00,48
1503960366,2016-04-12 05:00:00,48
1503960366,2016-04-12 06:00:00,48
1503960366,2016-04-12 07:00:00,47
1503960366,2016-04-12 08:00:00,68
1503960366,2016-04-12 09:00:00,141
1503960366,2016-04-12 10:00:00,99
1503960366,2016-04-12 11:00:00,76
1503960366,2016-04-12 12:00:00,73
1503960366,2016-04-12 13:00:00,66
1503960366,2016-04-12 14:00:00,110
1503960366,2016-04-12 15:00:00,151
1503960366,2016-04-12 16:00:00,76
1503960366,2016-04-12 17:00:00,83
1503960366,2016-04-12 18:00:00,124
1503960366,2016-04-12 19:00:00,104
1503960366,2016-04-12 20:00:00,132
1503960366,2016-04-12 21:00:00,100
1503960366,2016-04-12 22:00:00,65
1503960366,2016-04-12 23:00:00,81
1503960366,2016-04-13 00:00:00,69
1503960366,2016-04-13 01:00:00,48
1503960366,2016-04-13 02:00:00,47
1503960366,2016-04-13 03:00:00,53
1503960366,2016-04-13 04:00:00,47
1503960366,2016-04-13 05:00:00,47
1503960366,2016-04-13 06:00:00,48
1503960366,2016-04-13 07:00:00,59
1503960366,2016-04-13 08:00:00,69
1503960366,2016-04-13 09:00:00,136
1503960366,2016-04-13 10:00:00,77
1503960366,2016-04-13 11:00:00,84
1503960366,2016-04-13 12:00:00,82
1503960366,2016-04-13 13:00:00,72
1503960366,2016-04-13 14:00:00,128
1503960366,2016-04-13 15:00:00,79
1503960366,2016-04-13 16:00:00,71
1503960366,2016-04-13 17:00:00,87
1503960366,2016-04-13 18:00:00,118
1503960366,2016-04-13 19:00:00,73
1503960366,2016-04-13 20:00:00,47
1503960366,2016-04-13 21:00:00,48
1503960366,2016-04-13 22:00:00,74
1503960366,2016-04-13 23:00:00,135
1503960366,2016-04-14 00:00:00,56
1503960366,2016-04-14 01:00:00,54
1503960366,2016-04-14 02:00:00,47
1503960366,2016-04-14 03:00:00,47
1503960366,2016-04-14 04:00:00,47
1503960366,2016-04-14 05:00:00,47
1503960366,2016-04-14 06:00:00,47
1503960366,2016-04-14 07:00:00,47
1503960366,2016-04-14 08:00:00,47
1503960366,2016-04-14 09:00:00,93
1503960366,2016-04-14 10:00:00,109
1503960366,2016-04-14 11:00:00,64
1503960366,2016-04-14 12:00:00,85
1503960366,2016-04-14 13:00:00,137
1503960366,2016-04-14 14:00:00,113
1503960366,2016-04-14 15:00:00,66
1503960366,2016-04-14 16:00:00,88
1503960366,2016-04-14 17:00:00,61
1503960366,2016-04-14 18:00:00,72
1503960366,2016-04-14 19:00:00,55
1503960366,2016-04-14 20:00:00,91
1503960366,2016-04-14 21:00:00,174
1503960366,2016-04-14 22:00:00,79
1503960366,2016-04-14 23:00:00,50
1503960366,2016-04-15 00:00:00,60
1503960366,2016-04-15 01:00:00,58
1503960366,2016-04-15 02:00:00,59
1503960366,2016-04-15 03:00:00,47
1503960366,2016-04-15 04:00:00,47
1503960366,2016-04-15 05:00:00,49
1503960366,2016-04-15 06:00:00,47
1503960366,2016-04-15 07:00:00,49
1503960366,2016-04-15 08:00:00,54
1503960366,2016-04-15 09:00:00,50
1503960366,2016-04-15 10:00:00,63
1503960366,2016-04-15 11:00:00,84
1503960366,2016-04-15 12:00:00,74
1503960366,2016-04-15 13:00:00,67
1503960366,2016-04-15 14:00:00,47
1503960366,2016-04-15 15:00:00,47
1503960366,2016-04-15 16:00:00,47
1503960366,2016-04-15 17:00:00,140
