Id,ActivityDay,Calories
1503960366,2016-04-12,1985
1503960366,2016-04-13,1797
1503960366,2016-04-14,1776
1503960366,2016-04-15,1745
1503960366,2016-04-16,1863
1503960366,2016-04-17,1728
1503960366,2016-04-18,1921
1503960366,2016-04-19,2035
1503960366,2016-04-20,1786
1503960366,2016-04-21,1775
1503960366,2016-04-22,1827
1503960366,2016-04-23,1949
1503960366,2016-04-24,1788
1503960366,2016-04-25,2013
1503960366,2016-04-26,1970
1503960366,2016-04-27,2159
1503960366,2016-04-28,1898
1503960366,2016-04-29,1837
1503960366,2016-04-30,1947
1503960366,2016-05-01,1820
1503960366,2016-05-02,2004
1503960366,2016-05-03,1990
1503960366,2016-05-04,1819
1503960366,2016-05-05,1959
1503960366,2016-05-06,1896
1503960366,2016-05-07,1821
1503960366,2016-05-08,1740
1503960366,2016-05-09,1819
1503960366,2016-05-10,1859
1503960366,2016-05-11,1783
1503960366,2016-05-12,0
1624580081,2016-04-12,1432
1624580081,2016-04-13,1411
1624580081,2016-04-14,1572
1624580081,2016-04-15,1344
1624580081,2016-04-16,1463
1624580081,2016-04-17,1554
1624580081,2016-04-18,1604
1624580081,2016-04-19,1435
1624580081,2016-04-20,1446
1624580081,2016-04-21,1467
1624580081,2016-04-22,1470
1624580081,2016-04-23,1562
1624580081,2016-04-24,1617
1624580081,2016-04-25,1492
1624580081,2016-04-26,1402
1624580081,2016-04-27,1670
1624580081,2016-04-28,1401
1624580081,2016-04-29,1404
1624580081,2016-04-30,1655
1624580081,2016-05-01,2690
1624580081,2016-05-02,1497
1624580081,2016-05-03,1334
1624580081,2016-05-04,1368
1624580081,2016-05-05,1370
1624580081,2016-05-06,1341
1624580081,2016-05-07,1474
1624580081,2016-05-08,1427
1624580081,2016-05-09,1328
1624580081,2016-05-10,1393
1624580081,2016-05-11,1359
1624580081,2016-05-12,1002
1644430081,2016-04-12,3199
1644430081,2016-04-13,2902
1644430081,2016-04-14,3226
1644430081,2016-04-15,2750
1644430081,2016-04-16,3493
1644430081,2016-04-17,3011
1644430081,2016-04-18,2806
1644430081,2016-04-19,3300
1644430081,2016-04-20,2430
